Equipment ID,Year,Consumption,Stock,Demand,ACL,MSL,USL,PLT,RPQ
1,1990,313,1697,0,,,,18,
1,1991,347,2527,0,,,,18,
1,1992,443,2327,0,,,,18,
1,1993,416,2801,0,389.0,466.79999999999995,1167.0,18,-1050.5000000000002
1,1994,527,2930,0,413.0,495.59999999999997,1239.0,18,-1071.5000000000002
1,1995,454,3249,0,476.0,571.1999999999999,1428.0,18,-1107.0
1,1996,464,3210,0,472.0,566.4,1416.0,18,-1086.0
1,1997,695,3113,0,471.0,565.1999999999999,1413.0,18,-993.5
1,1998,623,3463,0,577.0,692.4,1731.0,18,-866.5
1,1999,728,3677,0,620.0,744.0,1860.0,18,-887.0
1,2000,733,3907,0,687.0,824.4,2061.0,18,-815.5
1,2001,702,4461,0,713.0,855.6,2139.0,18,-1252.5
1,2002,800,4335,0,716.0,859.1999999999999,2148.0,18,-1113.0000000000005
1,2003,839,4993,0,756.0,907.1999999999999,2268.0,18,-1591.0000000000005
1,2004,781,5208,0,803.0,963.5999999999999,2409.0,18,-1594.5000000000005
1,2005,837,4557,0,803.0,963.5999999999999,2409.0,18,-943.5000000000005
1,2006,956,4744,0,818.0,981.5999999999999,2454.0,18,-1063.0000000000005
1,2007,925,5236,0,887.0,1064.3999999999999,2661.0,18,-1244.5
1,2008,1031,5929,0,920.0,1104.0,2760.0,18,-1789.0
1,2009,940,5655,0,983.0,1179.6,2949.0,18,-1231.5
1,2010,1017,5763,0,967.0,1160.3999999999999,2901.0,18,-1411.5
1,2011,1118,5873,0,993.0,1191.6,2979.0,18,-1404.5
1,2012,1265,6593,0,1054.0,1264.8,3162.0,18,-1850.0
1,2013,1183,6273,0,1174.0,1408.8,3522.0,18,-990.0
1,2014,1211,6468,0,1199.0,1438.8,3597.0,18,-1072.5
1,2015,1176,6450,0,1210.0,1452.0,3630.0,18,-1005.0
1,2016,1220,6986,0,1188.0,1425.6,3564.0,18,-1640.0
1,2017,1294,7312,0,1203.0,1443.6,3609.0,18,-1898.5
1,2018,1397,7047,0,1249.0,1498.8,3747.0,18,-1426.5
1,2019,1288,7706,0,1333.0,1599.6,3999.0,18,-1707.5
2,1990,652,913,3074,,,,24,
2,1991,723,1359,2325,,,,24,
2,1992,923,1251,3492,,,,24,
2,1993,866,1506,3467,811.0,973.1999999999999,2433.0,24,2548.9999999999995
2,1994,1097,1576,3137,861.0,1033.2,2583.0,24,2729.0
2,1995,947,1747,3360,991.0,1189.2,2973.0,24,3208.0
2,1996,967,1726,3997,983.0,1179.6,2949.0,24,3189.0
2,1997,1448,1674,3676,982.0,1178.3999999999999,2946.0,24,3236.0
2,1998,1298,1863,5116,1204.0,1444.8,3612.0,24,4157.0
2,1999,1516,1977,5303,1292.0,1550.3999999999999,3876.0,24,4482.999999999999
2,2000,1527,2101,5344,1432.0,1718.3999999999999,4296.0,24,5058.999999999999
2,2001,1462,2399,5035,1485.0,1782.0,4455.0,24,5026.0
2,2002,1667,2332,5851,1492.0,1790.3999999999999,4476.0,24,5127.999999999999
2,2003,1747,2686,5702,1575.0,1890.0,4725.0,24,5189.0
2,2004,1626,2801,6546,1672.0,2006.3999999999999,5016.0,24,5559.0
2,2005,1743,2451,6463,1673.0,2007.6,5019.0,24,5914.0
2,2006,1991,2552,6742,1704.0,2044.8,5112.0,24,5968.0
2,2007,1926,2816,8199,1847.0,2216.4,5541.0,24,6419.0
2,2008,2146,3189,7427,1917.0,2300.4,5751.0,24,6396.0
2,2009,1958,3042,7353,2046.0,2455.2,6138.0,24,7188.0
2,2010,2119,3099,7711,2015.0,2418.0,6045.0,24,6976.0
2,2011,2329,3159,7609,2069.0,2482.7999999999997,6207.0,24,7186.0
2,2012,2634,3546,9038,2197.0,2636.4,6591.0,24,7439.0
2,2013,2463,3374,8399,2446.0,2935.2,7338.0,24,8856.0
2,2014,2522,3479,8681,2497.0,2996.4,7491.0,24,9006.0
2,2015,2448,3469,9362,2521.0,3025.2,7563.0,24,9136.0
2,2016,2540,3758,8981,2475.0,2970.0,7425.0,24,8617.0
2,2017,2693,3933,10105,2506.0,3007.2,7518.0,24,8597.0
2,2018,2909,3790,10610,2601.0,3121.2,7803.0,24,9215.0
2,2019,2681,4145,10107,2775.0,3330.0,8325.0,24,9730.0
3,1990,1800,0,107,,,,24,
3,1991,1997,0,81,,,,24,
3,1992,2551,0,121,,,,24,
3,1993,2391,0,121,2241.0,2689.2,6723.0,24,11205.0
3,1994,3030,0,109,2378.0,2853.6,7134.0,24,11890.0
3,1995,2615,0,117,2737.0,3284.4,8211.0,24,13685.0
3,1996,2671,0,139,2716.0,3259.2,8148.0,24,13580.0
3,1997,3999,0,128,2712.0,3254.4,8136.0,24,13560.0
3,1998,3584,0,178,3325.0,3990.0,9975.0,24,16625.0
3,1999,4186,0,185,3570.0,4284.0,10710.0,24,17850.0
3,2000,4217,0,186,3954.0,4744.8,11862.0,24,19770.0
3,2001,0,0,175,4101.0,4921.2,12303.0,24,20505.0
3,2002,4603,0,204,2103.0,2523.6,6309.0,24,10515.0
3,2003,4824,0,198,3004.0,3604.7999999999997,9012.0,24,15019.999999999998
3,2004,4491,0,228,3946.0,4735.2,11838.0,24,19730.0
3,2005,4814,0,225,4620.0,5544.0,13860.0,24,23100.0
3,2006,5498,0,235,4708.0,5649.599999999999,14124.0,24,23539.999999999996
3,2007,0,0,286,5102.0,6122.4,15306.0,24,25510.0
3,2008,5927,0,259,2635.0,3162.0,7905.0,24,13175.0
3,2009,5408,0,256,3879.0,4654.8,11637.0,24,19395.0
3,2010,5851,0,269,4679.0,5614.8,14037.0,24,23395.0
3,2011,6431,0,265,5716.0,6859.2,17148.0,24,28580.0
3,2012,7274,0,315,6067.0,7280.4,18201.0,24,30335.0
3,2013,6802,0,293,6755.0,8106.0,20265.0,24,33775.0
3,2014,6963,0,302,6897.0,8276.4,20691.0,24,34485.0
3,2015,6760,0,326,6961.0,8353.199999999999,20883.0,24,34805.0
3,2016,0,0,313,6834.0,8200.8,20502.0,24,34170.0
3,2017,7438,0,352,3413.0,4095.6,10239.0,24,17065.0
3,2018,0,0,370,4845.0,5814.0,14535.0,24,24225.0
3,2019,7403,0,352,2479.0,2974.7999999999997,7437.0,24,12394.999999999998
4,1990,1983,1101,2870,,,,24,
4,1991,2200,1640,2171,,,,24,
4,1992,2810,1510,3260,,,,24,
4,1993,2633,1818,3237,2468.0,2961.6,7404.0,24,10522.0
4,1994,3337,1901,2928,2619.0,3142.7999999999997,7857.0,24,11193.999999999998
4,1995,2880,2108,3137,3014.0,3616.7999999999997,9042.0,24,12961.999999999998
4,1996,2942,2083,3731,2991.0,3589.2,8973.0,24,12872.0
4,1997,4404,2020,3432,2987.0,3584.4,8961.0,24,12915.0
4,1998,0,2248,4776,3662.0,4394.4,10986.0,24,16062.0
4,1999,4610,2386,4951,1958.0,2349.6,5874.0,24,7404.0
4,2000,4645,2535,4989,3039.0,3646.7999999999997,9117.0,24,12659.999999999998
4,2001,4448,2895,4700,3859.0,4630.8,11577.0,24,16400.0
4,2002,5070,2814,5463,4540.0,5448.0,13620.0,24,19886.0
4,2003,0,3241,5323,4791.0,5749.2,14373.0,24,20714.0
4,2004,4947,3380,6112,2431.0,2917.2,7293.0,24,8775.0
4,2005,5302,2958,6034,3318.0,3981.6,9954.0,24,13632.0
4,2006,6055,3079,6294,4300.0,5160.0,12900.0,24,18421.0
4,2007,5858,3398,7655,5619.0,6742.8,16857.0,24,24697.0
4,2008,6528,3848,6934,5831.0,6997.2,17493.0,24,25307.0
4,2009,5956,3670,6865,6225.0,7470.0,18675.0,24,27455.0
4,2010,6444,3740,7199,6130.0,7356.0,18390.0,24,26910.0
4,2011,7083,3812,7104,6295.0,7554.0,18885.0,24,27663.0
4,2012,8012,4279,8439,6682.0,8018.4,20046.0,24,29131.0
4,2013,7491,4071,7842,7441.0,8929.199999999999,22323.0,24,33134.0
4,2014,7670,4197,8105,7596.0,9115.199999999999,22788.0,24,33783.0
4,2015,7446,4186,8741,7667.0,9200.4,23001.0,24,34149.0
4,2016,7725,4534,8385,7528.0,9033.6,22584.0,24,33106.0
4,2017,8193,4746,9434,7622.0,9146.4,22866.0,24,33364.0
4,2018,0,4574,9906,7912.0,9494.4,23736.0,24,34986.0
4,2019,8154,5001,9436,4018.0,4821.599999999999,12054.0,24,15089.0
5,1990,689,161,3101,,,,24,
5,1991,764,239,2345,,,,24,
5,1992,976,220,3523,,,,24,
5,1993,0,265,3498,857.0,1028.3999999999999,2571.0,24,4020.0
5,1994,0,278,3164,452.0,542.4,1356.0,24,1982.0
5,1995,1001,308,3390,162.0,194.4,486.0,24,502.0
5,1996,1022,304,4031,500.0,600.0,1500.0,24,2196.0
5,1997,0,295,3708,844.0,1012.8,2532.0,24,3925.0
5,1998,1372,328,5160,507.0,608.4,1521.0,24,2207.0
5,1999,1602,348,5350,856.0,1027.2,2568.0,24,3932.0
5,2000,1614,370,5391,1258.0,1509.6,3774.0,24,5920.0
5,2001,1546,423,5079,1569.0,1882.8,4707.0,24,7422.0
5,2002,1762,411,5903,1578.0,1893.6,4734.0,24,7479.0
5,2003,1847,473,5752,1665.0,1998.0,4995.0,24,7852.0
5,2004,1719,494,6604,1768.0,2121.6,5304.0,24,8346.0
5,2005,1843,432,6519,1768.0,2121.6,5304.0,24,8408.0
5,2006,0,450,6800,1802.0,2162.4,5406.0,24,8560.0
5,2007,0,496,8271,900.0,1080.0,2700.0,24,4004.0
5,2008,0,562,7492,307.0,368.4,921.0,24,973.0
5,2009,2070,536,7417,0.0,0.0,0.0,24,-536.0
5,2010,2240,546,7778,1035.0,1242.0,3105.0,24,4629.0
5,2011,2462,557,7676,1810.0,2172.0,5430.0,24,8493.0
5,2012,0,625,9117,2322.0,2786.4,6966.0,24,10985.0
5,2013,0,595,8473,1194.0,1432.8,3582.0,24,5375.0
5,2014,2666,613,8757,410.0,492.0,1230.0,24,1437.0
5,2015,2588,612,9444,1333.0,1599.6,3999.0,24,6053.0
5,2016,2685,662,9060,2182.0,2618.4,6546.0,24,10248.0
5,2017,2848,693,10193,2649.0,3178.7999999999997,7947.0,24,12551.999999999998
5,2018,3075,668,10703,2750.0,3300.0,8250.0,24,13082.0
5,2019,2834,731,10195,2934.0,3520.7999999999997,8802.0,24,13938.999999999998
6,1990,0,1129,1133,,,,18,
6,1991,0,1682,857,,,,18,
6,1992,0,1548,1287,,,,18,
6,1993,0,1864,1278,0.0,0.0,0.0,18,-1864.0
6,1994,0,1950,1156,0.0,0.0,0.0,18,-1950.0
6,1995,0,2162,1239,0.0,0.0,0.0,18,-2162.0
6,1996,0,2136,1473,0.0,0.0,0.0,18,-2136.0
6,1997,0,2072,1355,0.0,0.0,0.0,18,-2072.0
6,1998,0,2305,1886,0.0,0.0,0.0,18,-2305.0
6,1999,0,2447,1955,0.0,0.0,0.0,18,-2447.0
6,2000,0,2600,1970,0.0,0.0,0.0,18,-2600.0
6,2001,0,2969,1856,0.0,0.0,0.0,18,-2969.0
6,2002,0,2885,2157,0.0,0.0,0.0,18,-2885.0
6,2003,0,3323,2102,0.0,0.0,0.0,18,-3323.0
6,2004,0,3466,2413,0.0,0.0,0.0,18,-3466.0
6,2005,0,3033,2382,0.0,0.0,0.0,18,-3033.0
6,2006,0,3157,2485,0.0,0.0,0.0,18,-3157.0
6,2007,0,3484,3022,0.0,0.0,0.0,18,-3484.0
6,2008,0,3946,2738,0.0,0.0,0.0,18,-3946.0
6,2009,0,3763,2710,0.0,0.0,0.0,18,-3763.0
6,2010,0,3835,2842,0.0,0.0,0.0,18,-3835.0
6,2011,0,3908,2805,0.0,0.0,0.0,18,-3908.0
6,2012,0,4387,3332,0.0,0.0,0.0,18,-4387.0
6,2013,0,4174,3096,0.0,0.0,0.0,18,-4174.0
6,2014,0,4304,3200,0.0,0.0,0.0,18,-4304.0
6,2015,0,4292,3451,0.0,0.0,0.0,18,-4292.0
6,2016,0,4649,3311,0.0,0.0,0.0,18,-4649.0
6,2017,0,4866,3725,0.0,0.0,0.0,18,-4866.0
6,2018,0,4690,3911,0.0,0.0,0.0,18,-4690.0
6,2019,0,5128,3726,0.0,0.0,0.0,18,-5128.0
7,1990,209,2349,3038,,,,18,
7,1991,232,3498,2297,,,,18,
7,1992,297,3220,3451,,,,18,
7,1993,278,3876,3426,260.0,312.0,780.0,18,-2706.0
7,1994,352,4054,3099,276.0,331.2,828.0,18,-2812.0
